site,X,Y
B9N0014,31.37174,-22.90295
B9N0015,31.2699,-22.6972
B9N0017,31.08993,-22.78196
C1N0002,29.94476,-26.42929
C1N0004,29.925797,-26.625156
C1N0005,30.10162,-26.72733
C1N0006,30.10658,-26.71833
C1N0007,30.123897,-26.5676
C1N0008,30.124889,-26.566981
C1N0009,30.095169,-26.551206
C1N0010,30.092886,-26.555147
C1N0011,30.077503,-26.468886
C1N0012,29.973453,-26.611789
C1N0013,29.717622,-26.716853
C1N0014,29.948839,-26.438664
C1N0015,29.950297,-26.430253
C1N0016,29.9155912,-26.623803
C2N0001,27.39682,-26.33952
C2N0002,27.15314,-26.51043
C2N0003,27.21463,-26.40177
C2N0004,27.81364,-26.30108
C2N0011,27.6654,-26.30869
C2N0012,27.66574,-26.2938
C2N0017,27.14463,-26.30758
C2N0022,27.67421,-26.24491
C2N0023,27.76042,-26.23891
C2N0024,27.74138889,-26.30416667
C2N0079,27.47416667,-26.30888889
C2N0082,27.16277,-26.25135
C2N0104,27.13631,-26.50822
C2N0120,27.69643,-26.39431
C2N0179,27.13223,-26.26498
C2N0180,27.17181,-26.26349
C2N0181,27.16256,-26.23444
C2N0187,27.35596,-26.32694
C2N0190,27.11108,-26.31443
C2N0196,27.11805556,-26.50194444
C2N0198,27.3802,-26.34709
C2N0204,27.38724,-26.35294
C2N0208,27.61611111,-26.2625
C2N0222,27.59405,-26.26392
C2N0226,27.59592,-26.27666
C2N0228,27.61636,-26.26399
C2N0243,27.67631,-26.25764
C2N0249,27.73686,-26.30782
C2N0252,27.67261,-26.31133
C2N0283,27.65321,-26.31974
C2N0286,27.66349,-26.31141
C2N0288,27.63666667,-26.2325
C2N0301,27.6836,-26.26121
C2N0310,27.75401,-26.26674
C2N0312,27.7676,-26.28294
C2N0317,27.83305556,-26.28916667
C2N0320,27.75614,-26.22567
C2N0322,27.719,-26.281
C2N0323,27.75623,-26.25197
C2N0325,27.74044,-26.24526
C2N0327,27.78505,-26.28686
C2N0331,27.77321,-26.34517
C2N0332,27.77654,-26.32338
C2N0347,27.76303,-26.26772
C2N0348,27.76983,-26.27321
C2N0349,27.76584,-26.27668
C2N0362,27.80458,-26.30536
C2N0365,27.74675,-26.29272
C2N0370,27.8064,-26.34897
C2N0371,27.78235,-26.34932
C2N0375,27.81049,-26.33258
C2N0509,27.82266,-26.32498
C2N0525,27.95861111,-26.64388889
C2N0534,27.73383,-26.29897
C2N0594,28.20271,-26.29086
C2N0596,27.78391,-26.32663
C2N0597,27.77942,-26.32699
C2N0602,27.7889,-26.32251
C2N0604,27.78192,-26.31282
C2N0605,27.79136,-26.30988
C2N0606,27.77523,-26.30623
C2N0610,27.74551,-26.29612
C2N0614,27.76972222,-26.29416667
C2N0615,27.78949,-26.29768
C2N0619,27.8139,-26.28804
C2N0621,27.80921,-26.29905
C2N0622,27.80521,-26.29587
C2N0625,27.79764,-26.33524
C2N0662,27.79022,-26.32032
C2N0685,27.783,-26.3283
C2N0747,27.83853,-26.35018
C2N0766,28.21257,-26.28819
C2N0769,28.29243,-26.32674
C2N0771,28.31182,-26.41828
C2N0772,28.32836,-26.40697
C2N0773,28.26919,-26.36701
C2N0775,28.27673,-26.36072
C2N0776,28.25843,-26.36254
C2N0777,28.335845,-25.916112
C2N0778,28.20075,-26.34271
C2N0780,28.24309,-26.36374
C2N0781,28.2257,-26.37768
C2N0782,28.21708,-26.37883
C2N0783,28.21033,-26.41248
C2N0788,28.09348,-26.41719
C2N0789,28.0653,-26.41631
C2N0790,28.05533,-26.41554
C2N0791,28.04019,-26.4242
C2N0812,28.03105,-26.42159
C2N0813,28.05978,-26.39368
C2N0814,28.06523,-26.40329
C2N0815,28.06305556,-26.38638889
C2N0816,28.06248,-26.38947
C2N0817,28.05194444,-26.38305556
C2N0818,28.05972222,-26.38194444
C2N0819,28.05806,-26.37996
C2N0820,28.04401,-26.37078
C2N0821,28.04492,-26.36286
C2N0822,27.98673,-26.33068
C2N0826,27.94547,-26.36343
C2N0827,27.94236,-26.3536
C2N0831,27.9253,-26.3566
C2N0832,27.89833333,-26.3475
C2N0833,27.894,-26.35507
C2N0834,27.87805556,-26.35333333
C2N0835,27.8781,-26.34622
C2N0836,27.90586,-26.33474
C2N0849,27.82069,-26.35356
C2N0850,27.82181,-26.35079
C2N0860,28.06608,-26.45869
C2N0861,28.06057,-26.4552
C2N0862,28.05757,-26.44528
C2N0863,28.06,-26.44166667
C2N0864,28.062,-26.43415
C2N0865,28.05666,-26.41209
C2N0866,28.05026,-26.40867
C2N0867,28.05304,-26.42213
C2N0868,28.05005,-26.42587
C2N0869,28.04765,-26.42964
C2N0870,27.88333333,-26.63305556
C2N0871,27.88611,-26.63104
C2N0873,27.96603,-26.5693
C2N0874,27.95472222,-26.55805556
C2N0875,27.96508,-26.56142
C2N0876,27.96185,-26.55564
C2N0877,27.98681,-26.52353
C2N0878,27.97666,-26.51052
C2N0879,27.97686,-26.51062
C2N0880,27.98667,-26.51399
C2N0881,27.99231,-26.51119
C2N0882,28.00501,-26.51665
C2N0885,28.04262,-26.38273
C2N0890,28.43302,-26.08253
C2N0891,28.44412,-26.08591
C2N0893,28.44929,-26.1015
C2N0897,27.73403,-26.38121
C2N0898,27.72861111,-26.39222222
C2N0899,27.73402,-26.39157
C2N0900,27.73993,-26.39193
C2N0901,27.69542,-26.44147
C2N0902,27.69413,-26.43643
C2N0903,27.69545,-26.44108
C2N0904,27.69254,-26.44096
C2N0905,27.6925,-26.44416667
C2N0907,27.68777778,-26.43722222
C2N0911,27.70694444,-26.40138889
C2N0912,27.71333333,-26.40777778
C2N0915,27.72205,-26.41657
C2N0917,27.73005,-26.42027
C2N0918,27.73722222,-26.42805556
C2N0920,27.67972222,-26.42638889
C2N0923,27.64339,-26.39806
C2N0998,27.77855,-26.33402
C2N1002,27.64813,-26.25562
C2N1004,27.76657,-26.38671
C2N1005,27.74174,-26.39219
C2N1018,27.78745,-26.31769
C2N1019,27.78973,-26.32179
C2N1020,26.55066,-25.95889
C2N1021,26.53426,-25.8771
C2N1022,26.49398,-26.00296
C2N1023,26.57324,-26.16594
C2N1024,26.6332,-26.06785
C2N1025,26.95291,-26.09508
C2N1026,26.92157,-26.08181
C2N1027,26.88745,-26.21825
C2N1028,26.86293,-26.24267
C2N1029,26.80614,-26.15593
C2N1030,26.75974,-26.19109
C2N1031,26.78527778,-26.08916667
C2N1032,26.62218,-26.25928
C2N1033,26.80593,-26.25406
C2N1034,26.19149,-26.01411
C2N1035,26.48583,-26.10469
C2N1036,26.481661,-26.140376
